t [s],u [deg],y [deg],i [A],r (deg)
0,-0.000957,-0.004883,-0.005035,0
0.00005,-0.001116,-0.004272,-0.012512,0
0.0001,-0.001314,-0.001221,-0.007172,0
0.00015,-0.00268,0.006104,0.005341,0
0.0002,-0.003656,0.001221,-0.009766,0
0.00025,-0.003304,0.006104,-0.012665,0
0.0003,-0.002258,-0.00061,-0.016174,0
0.00035,-0.000938,0.011597,-0.015564,0
0.0004,0.000076,0.007324,-0.012207,0
0.00045,0.000682,-0.00061,-0.00824,0
0.0005,0.001121,0.001831,-0.022583,0
0.00055,0.000947,-0.010376,-0.011292,0
0.0006,0.000564,-0.003052,-0.017395,0
0.00065,0.000331,-0.012207,-0.015259,0
0.0007,-0.000349,0.004272,-0.024719,0
0.00075,-0.000478,0.013428,-0.01297,0
0.0008,0.000217,-0.004272,-0.020752,0
0.00085,0.000362,0.006714,0.013123,0
0.0009,-0.000213,-0.003052,-0.001831,0
0.00095,-0.00047,-0.001221,-0.016785,0
0.001,-0.000197,0.003662,0.012665,0
0.00105,-0.00016,0.00061,-0.001984,0
0.0011,-0.000409,0.006714,-0.023956,0
0.00115,-0.000386,-0.002441,-0.025635,0
0.0012,0,0,-0.021515,0
0.00125,0.000387,0.002441,-0.023499,0
0.0013,0.00058,-0.002441,-0.011902,0
0.00135,0.00023,-0.002441,-0.025177,0
0.0014,-0.000805,0,-0.017395,0
0.00145,-0.001868,0.001831,-0.00824,0
0.0015,-0.001914,-0.005493,-0.013733,0
0.00155,-0.001134,0.015259,-0.016479,0
0.0016,-0.000642,-0.005493,-0.00061,0
0.00165,0.000147,-0.002441,-0.022125,0
0.0017,0.001537,0.006104,0.006561,0
0.00175,0.002144,0.002441,-0.011139,0
0.0018,0.001819,0.011597,-0.005493,0
0.00185,0.000942,-0.015259,-0.004425,0
0.0019,-0.000152,0.003052,-0.013123,0
0.00195,-0.000835,0.003662,-0.016785,0
0.002,-0.001416,-0.002441,-0.022736,0
0.00205,-0.001293,0.002441,0.005798,0
0.0021,-0.000511,0.006104,-0.001068,0
0.00215,-0.000093,-0.003662,0.019989,0
0.0022,0.000153,0.009155,-0.002441,0
0.00225,0.000191,0.006104,-0.032196,0
0.0023,0.00002,0.012207,-0.0177,0
0.00235,0.000005,0.003052,-0.014496,0
0.0024,-0.000427,-0.003662,-0.023651,0
0.00245,-0.001263,0.007324,-0.02243,0
0.0025,-0.000627,0.002441,-0.00473,0
0.00255,0.0006,0.009766,-0.010376,0
0.0026,0.000545,0.004883,-0.01709,0
0.00265,0.000265,-0.005493,0.000763,0
0.0027,0.000516,-0.00061,-0.004425,0
0.00275,0.000729,0.007324,-0.009155,0
0.0028,0.000772,0.001831,-0.032501,0
0.00285,0.000891,0.006714,-0.005646,0
0.0029,0.000775,0.00061,-0.026703,0
0.00295,0.000364,0.005493,-0.037079,0
0.003,0.000059,-0.003662,-0.008698,0
0.00305,0.000236,0.001831,0.005341,0
0.0031,0.000788,0.010986,-0.00946,0
0.00315,0.001028,0.010376,-0.003204,0
0.0032,0.000739,0.015869,0.013123,0
0.00325,0.000229,0.012207,-0.007782,0
0.0033,-0.000355,0.007324,-0.016632,0
0.00335,-0.000529,0.007324,-0.005646,0
0.0034,0.000016,0,0.00061,0
0.00345,0.00027,-0.001221,-0.014496,0
0.0035,-0.000167,-0.006104,-0.011749,0
0.00355,0.000073,-0.009766,0.007324,0
0.0036,0.000787,-0.003662,-0.007324,0
0.00365,0.00027,0.007935,-0.007324,0
0.0037,-0.00082,0.003052,0.000305,0
0.00375,-0.000863,0,-0.028687,0
0.0038,-0.000189,-0.003052,0.001678,0
0.00385,0.00002,-0.004883,0.002136,0
0.0039,-0.000487,0.003662,-0.025177,0
0.00395,-0.001172,-0.011597,0.000458,0
0.004,-0.001863,0.008545,0.001068,0
0.00405,-0.00211,-0.003662,-0.002441,0
0.0041,-0.001475,0.003662,0.004883,0
0.00415,-0.000596,0.014038,-0.021057,0
0.0042,-0.000313,0.003662,-0.019073,0
0.00425,0.000184,0.004272,0.001221,0
0.0043,0.001541,-0.008545,-0.029449,0
0.00435,0.002408,0.006714,-0.018158,0
0.0044,0.002799,-0.003662,-0.00412,0
0.00445,0.002698,0.015869,-0.015717,0
0.0045,0.001281,-0.003662,-0.008087,0
0.00455,-0.000287,0,-0.028992,0
0.0046,-0.000691,0.005493,-0.011749,0
0.00465,-0.000086,0.002441,-0.026855,0
0.0047,0.000426,-0.004272,0.001831,0
0.00475,0.000156,-0.002441,0.002441,0
0.0048,-0.000044,-0.004272,-0.010376,0
0.00485,0.000122,0.009155,-0.007477,0
0.0049,-0.000021,-0.003662,0,0
0.00495,-0.000286,-0.003052,0.006256,0
0.005,-0.000159,-0.004272,0.008698,0
0.00505,0.000336,0.00061,-0.031586,0
0.0051,0.000999,0.007935,-0.04303,0.000001
0.00515,0.001747,-0.006714,0.007324,0
0.0052,0.001814,0.004883,-0.005035,-0.000003
0.00525,0.000836,-0.013428,-0.003967,-0.000001
0.0053,-0.000435,-0.013428,0.006561,0.000007
0.00535,-0.001444,0.009766,-0.034637,0.000007
0.0054,-0.001644,0.003662,0.002136,-0.000015
0.00545,-0.000924,0.006104,-0.030518,-0.000022
0.0055,-0.000465,0.004272,-0.045471,0.000029
0.00555,-0.000913,0.009766,0.018921,0.000058
0.0056,-0.000957,0.007935,-0.009308,-0.000048
0.00565,-0.000252,-0.00061,0.005646,-0.000131
0.0057,0.000005,-0.018311,0.021667,0.000068
0.00575,-0.000066,-0.003052,-0.005188,0.000273
0.0058,-0.000009,0.001831,-0.009308,-0.000077
0.00585,-0.00007,-0.014038,0.004578,-0.000529
0.0059,-0.000121,0.004272,-0.004425,0.000046
0.00595,-0.000207,0.003662,-0.01236,0.00098
0.006,-0.00029,-0.002441,-0.006409,0.000076
0.00605,-0.000238,0.018311,-0.014496,-0.001775
0.0061,-0.000017,0.019531,-0.024109,-0.000351
0.00615,0.001028,0.00061,0.022736,0.003695
0.0062,0.002283,-0.004272,-0.009766,0.002672
0.00625,0.002743,-0.007935,0.006104,-0.004498
0.0063,0.003571,-0.006714,0.006714,-0.005393
0.00635,0.004784,0.013428,-0.024719,0.005355
0.0064,0.004024,0.004272,-0.011597,0.009873
0.00645,0.001292,0.010376,-0.031433,-0.00503
0.0065,-0.001677,-0.001221,-0.035858,-0.016063
0.00655,-0.004829,-0.001831,-0.056,0.002638
0.0066,-0.008935,0.010376,-0.006866,0.023903
0.00665,-0.011217,0.004272,-0.018616,0.002989
0.0067,-0.003995,-0.009155,0.020294,-0.033083
0.00675,0.020055,0.006104,-0.00351,-0.013357
0.0068,0.064682,0.005493,0.025024,0.043038
0.00685,0.13178,0.011597,0.098877,0.03061
0.0069,0.223212,0.009766,0.201263,-0.052992
0.00695,0.328916,0.0177,0.276489,-0.058585
0.007,0.4147,0.058594,0.286865,0.062048
0.00705,0.440347,0.094604,0.265503,0.10664
0.0071,0.388847,0.162964,0.084534,-0.069308
0.00715,0.279112,0.245972,-0.279694,-0.20908
0.0072,0.158241,0.317993,-0.583038,0.074009
0.00725,0.070269,0.351562,-0.743561,0.67821
0.0073,0.025884,0.350342,-0.62973,1
0.00735,0.008288,0.305786,-0.326843,0.67821
0.0074,0.00028,0.236816,0.053558,0.074009
0.00745,-0.00285,0.169067,0.292969,-0.20908
0.0075,-0.000988,0.093994,0.318146,-0.069308
0.00755,0.001774,0.036621,0.262909,0.10664
0.0076,0.001412,0.007935,0.188904,0.062048
0.00765,-0.000894,-0.005493,0.133209,-0.058585
0.0077,-0.002408,-0.012817,0.066376,-0.052992
0.00775,-0.003193,-0.00061,-0.011597,0.03061
0.0078,-0.004077,-0.009155,-0.018616,0.043038
0.00785,-0.004815,-0.001831,-0.02182,-0.013357
0.0079,-0.004644,0.00061,-0.019073,-0.033083
0.00795,-0.003315,0.003052,-0.017395,0.002989
0.008,-0.002444,0.008545,-0.013123,0.023903
0.00805,-0.002465,0.007935,-0.009003,0.002638
0.0081,-0.002327,0.003052,-0.002899,-0.016063
0.00815,-0.002043,-0.00061,-0.023956,-0.00503
0.0082,-0.001732,0.002441,-0.004578,0.009873
0.00825,-0.001439,-0.003052,-0.020447,0.005355
0.0083,-0.001718,0.007935,-0.001984,-0.005393
0.00835,-0.002318,0,-0.026398,-0.004498
0.0084,-0.002527,0.003662,-0.036621,0.002672
0.00845,-0.002009,-0.001831,-0.009003,0.003695
0.0085,-0.000944,0.006104,-0.010834,-0.000351
0.00855,-0.000101,0.004883,-0.016479,-0.001775
0.0086,0.000342,-0.001831,0.007019,0.000076
0.00865,0.00043,-0.002441,-0.02182,0.00098
0.0087,0.000446,0.014038,-0.028687,0.000046
0.00875,0.000301,0.004883,-0.025482,-0.000529
0.0088,0.000052,-0.007935,-0.000916,-0.000077
0.00885,0.000451,0.004883,-0.005646,0.000273
0.0089,0.000437,-0.005493,-0.008698,0.000068
0.00895,-0.000256,0.007324,-0.011902,-0.000131
0.009,-0.000792,-0.006104,0.001678,-0.000048
0.00905,-0.001326,0.010376,-0.006256,0.000058
0.0091,-0.00169,0.007935,-0.003662,0.000029
0.00915,-0.001694,-0.011597,-0.001984,-0.000022
0.0092,-0.001489,-0.007324,-0.012665,-0.000015
0.00925,-0.001855,-0.003662,-0.014648,0.000007
0.0093,-0.002464,-0.001831,-0.009613,0.000007
0.00935,-0.002012,-0.007324,-0.018463,-0.000001
0.0094,-0.000986,0.009766,-0.004883,-0.000003
0.00945,-0.000694,0.003052,-0.006561,0
