t [s],u [deg],y [deg],i [A]
0.000000,0.000616,0.009766,-0.004425
0.000050,0.000630,-0.001221,-0.020752
0.000100,0.000924,-0.003052,-0.023804
0.000150,0.001641,0.009766,-0.027008
0.000200,0.001613,-0.003052,-0.019989
0.000250,0.000793,-0.010376,0.006256
0.000300,0.000350,0.002441,0.010223
0.000350,0.000377,0.008545,-0.017395
0.000400,0.000400,0.000610,-0.001221
0.000450,0.000494,0.004272,-0.005188
0.000500,0.000535,0.001221,-0.021667
0.000550,0.000162,-0.004883,0.004425
0.000600,-0.000012,0.004272,-0.021362
0.000650,0.000507,0.016479,-0.011902
0.000700,0.001530,-0.000610,-0.000763
0.000750,0.002713,0.009766,-0.005188
0.000800,0.002933,-0.001831,-0.002441
0.000850,0.001753,0.001831,-0.027008
0.000900,0.000352,0.009766,-0.016937
0.000950,-0.000582,0.003052,0.006866
0.001000,-0.000855,0.000610,-0.012512
0.001050,-0.000525,0.007324,-0.019531
0.001100,-0.000932,0.010376,-0.003510
0.001150,-0.001791,0.006104,0.010986
0.001200,-0.001728,0.015259,-0.010223
0.001250,-0.000811,0.001221,0.000610
0.001300,0.000270,0.009766,-0.008392
0.001350,0.000702,0.001221,-0.010986
0.001400,0.000082,-0.001221,-0.008087
0.001450,-0.000625,-0.001831,0.006561
0.001500,-0.000572,0.007324,0.002594
0.001550,-0.000506,-0.005493,-0.019379
0.001600,-0.000393,0.004883,-0.020294
0.001650,-0.000367,-0.004272,0.003510
0.001700,-0.000590,-0.006714,-0.020599
0.001750,-0.000219,-0.001221,0.000916
0.001800,0.000361,-0.006104,0.001221
0.001850,0.000350,-0.001221,-0.014648
0.001900,-0.000093,-0.006104,0.001373
0.001950,-0.000159,0.002441,-0.026245
0.002000,-0.000227,0.005493,0.000610
0.002050,-0.000515,0.009766,-0.009308
0.002100,-0.000109,0.004272,0.001373
0.002150,0.000610,0.014648,0.005798
0.002200,0.000936,0.009766,-0.007019
0.002250,0.000823,0.007935,-0.007782
0.002300,0.000778,-0.001221,-0.027771
0.002350,0.001188,-0.004272,-0.007019
0.002400,0.001528,0.003052,-0.005646
0.002450,0.001309,-0.001221,-0.008545
0.002500,0.000773,0.001221,-0.022125
0.002550,0.000309,0.003052,-0.022278
0.002600,-0.000217,-0.000610,-0.012360
0.002650,-0.000758,0.004272,-0.018005
0.002700,-0.001210,0.010986,-0.012512
0.002750,-0.001740,0.001221,-0.038910
0.002800,-0.002237,0.006714,-0.025635
0.002850,-0.001982,-0.003052,-0.009460
0.002900,-0.001570,0.003662,-0.024719
0.002950,-0.001658,-0.003052,0.012970
0.003000,-0.001317,0.014038,-0.004425
0.003050,-0.001178,0.009766,-0.012817
0.003100,-0.001650,0.011597,-0.021973
0.003150,-0.001672,0.003052,-0.009766
0.003200,-0.001271,0.008545,-0.023499
0.003250,-0.000591,0.003052,-0.008850
0.003300,0.000021,0.008545,-0.001068
0.003350,0.000010,0.004883,-0.001526
0.003400,0.000033,-0.004883,-0.005493
0.003450,-0.000073,0.001831,-0.002594
0.003500,-0.000164,0.009155,-0.021667
0.003550,0.000466,0.014038,-0.006866
0.003600,0.000574,-0.002441,-0.014954
0.003650,-0.000005,0.007324,0.001831
0.003700,-0.000012,0.000000,-0.035400
0.003750,0.000197,0.000000,0.001678
0.003800,0.000285,0.009766,-0.021057
0.003850,0.000734,-0.008545,0.003662
0.003900,0.000427,0.015259,-0.032043
0.003950,-0.001119,-0.006104,0.008698
0.004000,-0.001989,-0.004883,-0.005035
0.004050,-0.002115,0.001831,-0.028687
0.004100,-0.001586,-0.000610,-0.016937
0.004150,-0.000186,0.006104,-0.026398
0.004200,0.000461,-0.006714,0.011139
0.004250,0.000539,0.007324,0.001831
0.004300,0.000017,-0.005493,-0.022125
0.004350,-0.000527,-0.001221,-0.026855
0.004400,-0.000584,0.009155,-0.003204
0.004450,-0.001547,-0.008545,-0.030670
0.004500,-0.002058,0.011597,-0.011597
0.004550,-0.001363,-0.015869,-0.028992
0.004600,-0.000939,-0.003052,0.013123
0.004650,-0.000894,0.000000,-0.000610
0.004700,-0.000721,0.006714,-0.014191
0.004750,-0.001078,0.002441,-0.027618
0.004800,-0.001417,-0.012817,0.001068
0.004850,-0.000639,-0.001221,-0.001373
0.004900,-0.000097,0.006104,-0.022736
0.004950,-0.000053,0.005493,-0.000305
0.005000,0.000462,0.009155,-0.025024
0.005050,0.000843,0.005493,-0.027008
0.005100,0.000334,0.008545,-0.020752
0.005150,-0.000741,-0.005493,-0.019836
0.005200,-0.001532,0.010376,0.008087
0.005250,-0.002372,0.011597,0.000610
0.005300,-0.003374,-0.011597,0.000458
0.005350,-0.003460,-0.014648,0.003052
0.005400,-0.002489,0.019531,-0.026703
0.005450,-0.001368,-0.001831,-0.028534
0.005500,-0.000906,0.000000,-0.014191
0.005550,-0.000788,0.015259,-0.014191
0.005600,-0.000530,-0.005493,0.017853
0.005650,-0.000169,0.002441,-0.005493
0.005700,0.001576,-0.007935,-0.017853
0.005750,0.004997,-0.003662,0.009003
0.005800,0.008350,-0.002441,-0.003204
0.005850,0.011127,0.000000,-0.000916
0.005900,0.013254,0.009766,-0.012360
0.005950,0.013728,0.008545,-0.011597
0.006000,0.011039,0.001221,-0.005035
0.006050,0.004287,0.016479,-0.046844
0.006100,-0.006117,0.009766,-0.034180
0.006150,-0.020693,0.006104,-0.037994
0.006200,-0.039734,0.003052,-0.044861
0.006250,-0.060220,0.008545,-0.052643
0.006300,-0.078812,-0.009766,-0.082397
0.006350,-0.092585,-0.006714,-0.056152
0.006400,-0.097725,-0.004272,-0.057526
0.006450,-0.089240,-0.039062,-0.011292
0.006500,-0.060933,-0.059204,0.066681
0.006550,-0.009866,-0.078125,0.092926
0.006600,0.063514,-0.068359,0.178070
0.006650,0.158311,-0.079346,0.261383
0.006700,0.271965,-0.068970,0.295715
0.006750,0.398936,-0.037231,0.298462
0.006800,0.531119,0.032349,0.306396
0.006850,0.659338,0.095215,0.312653
0.006900,0.773419,0.181274,0.233765
0.006950,0.863922,0.299683,0.120544
0.007000,0.923440,0.418091,0.003052
0.007050,0.946844,0.534668,-0.117187
0.007100,0.933228,0.642700,-0.249176
0.007150,0.884101,0.737915,-0.391235
0.007200,0.803083,0.833740,-0.485229
0.007250,0.697094,0.862427,-0.520477
0.007300,0.574446,0.893555,-0.565338
0.007350,0.444435,0.888672,-0.501099
0.007400,0.316631,0.815430,-0.426941
0.007450,0.199425,0.755005,-0.279999
0.007500,0.099555,0.647583,-0.169678
0.007550,0.020351,0.541382,-0.059052
0.007600,-0.037394,0.415649,0.065613
0.007650,-0.073764,0.304565,0.205078
0.007700,-0.090886,0.197144,0.259094
0.007750,-0.092781,0.095215,0.290375
0.007800,-0.083694,0.015259,0.309296
0.007850,-0.067941,-0.028076,0.294037
0.007900,-0.050023,-0.053101,0.216980
0.007950,-0.032947,-0.072021,0.168304
0.008000,-0.018521,-0.078125,0.102844
0.008050,-0.007750,-0.054932,0.047913
0.008100,-0.000498,-0.056152,-0.003204
0.008150,0.003962,-0.038452,-0.053558
0.008200,0.006179,-0.022583,-0.056915
0.008250,0.006486,-0.004883,-0.069275
0.008300,0.005970,0.001221,-0.072479
0.008350,0.005017,-0.001831,-0.057068
0.008400,0.003585,0.015259,-0.021667
0.008450,0.002342,0.012817,-0.046844
0.008500,0.001367,0.017700,-0.043945
0.008550,0.000290,0.012207,0.003967
