t [s],u [deg],y [deg],i [A]
0.000000,-0.003380,0.009155,-0.005188
0.000050,-0.004002,-0.010986,0.004272
0.000100,-0.002857,-0.003052,-0.024872
0.000150,-0.001496,-0.003052,-0.008850
0.000200,-0.000239,0.003662,-0.012360
0.000250,0.000610,0.001221,-0.001526
0.000300,0.000907,-0.000610,-0.008240
0.000350,0.000598,-0.001221,-0.021667
0.000400,-0.000281,-0.006104,-0.011597
0.000450,-0.001512,0.007324,-0.018768
0.000500,-0.002682,-0.003052,-0.026093
0.000550,-0.003436,-0.000610,-0.022736
0.000600,-0.003708,0.006104,-0.020752
0.000650,-0.003714,0.002441,-0.016632
0.000700,-0.003815,-0.000610,-0.007935
0.000750,-0.004312,0.001831,-0.007172
0.000800,-0.005233,-0.006104,0.001984
0.000850,-0.006285,-0.003052,0.006104
0.000900,-0.007030,0.001831,-0.015564
0.000950,-0.007108,0.004272,-0.028229
0.001000,-0.006410,0.006714,0.005035
0.001050,-0.005151,-0.001831,-0.014801
0.001100,-0.003836,-0.011597,-0.010529
0.001150,-0.003019,-0.003052,-0.019073
0.001200,-0.002938,-0.003662,-0.003662
0.001250,-0.003350,-0.007935,-0.002899
0.001300,-0.003727,-0.003052,-0.018005
0.001350,-0.003664,-0.005493,-0.025330
0.001400,-0.003193,-0.007324,0.001678
0.001450,-0.002691,0.007324,-0.030365
0.001500,-0.002484,-0.009155,-0.019684
0.001550,-0.002574,0.000000,-0.009766
0.001600,-0.002660,0.007324,0.001678
0.001650,-0.002414,-0.002441,-0.004883
0.001700,-0.001771,0.007324,-0.020599
0.001750,-0.001028,0.007324,-0.021667
0.001800,-0.000783,0.016479,-0.002747
0.001850,-0.001675,-0.006714,-0.005798
0.001900,-0.003973,0.013428,-0.021973
0.001950,-0.007302,0.002441,-0.022888
0.002000,-0.010719,0.003662,-0.011749
0.002050,-0.013068,0.009766,-0.010376
0.002100,-0.013411,-0.010376,-0.030518
0.002150,-0.011410,-0.009766,-0.010986
0.002200,-0.007613,-0.001221,-0.004120
0.002250,-0.003416,-0.015259,0.032349
0.002300,-0.000502,-0.012207,0.029907
0.002350,-0.000084,0.000000,0.023499
0.002400,-0.002412,-0.001221,0.004578
0.002450,-0.006631,-0.015869,-0.010986
0.002500,-0.011019,-0.001831,-0.056763
0.002550,-0.013655,-0.004883,-0.046234
0.002600,-0.013253,-0.000610,-0.033875
0.002650,-0.009768,0.002441,-0.008698
0.002700,-0.004460,-0.004272,-0.005646
0.002750,0.000645,-0.007324,0.016632
0.002800,0.003666,-0.011597,0.014496
0.002850,0.003762,-0.005493,0.007782
0.002900,0.001484,-0.016479,-0.007324
0.002950,-0.001636,0.002441,-0.025024
0.003000,-0.003961,0.006104,-0.028839
0.003050,-0.004495,0.003052,-0.028534
0.003100,-0.003220,0.000610,-0.032349
0.003150,-0.001024,0.001831,0.005035
0.003200,0.000780,0.015869,-0.022278
0.003250,0.001175,0.000000,0.000153
0.003300,-0.000022,-0.004883,-0.000305
0.003350,-0.002091,0.003662,-0.001984
0.003400,-0.003806,0.007324,-0.011292
0.003450,-0.004118,-0.001221,-0.020294
0.003500,-0.002759,-0.003662,-0.018616
0.003550,-0.000451,-0.001831,0.001526
0.003600,0.001389,0.002441,-0.020447
0.003650,0.001428,0.001221,-0.004578
0.003700,-0.000714,-0.009766,-0.005493
0.003750,-0.004220,-0.001221,0.004883
0.003800,-0.007572,-0.009155,-0.029297
0.003850,-0.009268,-0.005493,-0.005951
0.003900,-0.008525,0.012207,-0.033264
0.003950,-0.005673,0.008545,-0.013885
0.004000,-0.001888,0.006104,0.021820
0.004050,0.001470,0.007935,0.002594
0.004100,0.003411,-0.004272,0.017242
0.004150,0.003625,-0.006104,0.001678
0.004200,0.002494,0.006714,-0.009766
0.004250,0.000743,0.005493,-0.026550
