t [s],u [deg],y [deg],i [A]
0.000000,-0.002579,0.005493,-0.014343
0.000050,-0.006046,0.006104,-0.018158
0.000100,-0.003609,-0.001221,-0.003815
0.000150,-0.000747,-0.009155,0.000000
0.000200,-0.007917,0.003052,0.003052
0.000250,-0.017640,0.003052,0.004425
0.000300,-0.013166,0.001221,-0.039215
0.000350,0.006412,-0.012207,-0.028229
0.000400,0.022790,-0.014648,0.021515
0.000450,0.021369,-0.004272,0.064850
0.000500,0.007416,0.003052,0.062408
0.000550,-0.004404,-0.003052,-0.016785
0.000600,-0.007789,0.000000,-0.093384
0.000650,-0.005792,0.022583,-0.070801
0.000700,-0.000932,0.017090,-0.038452
0.000750,0.006490,0.007935,0.019379
0.000800,0.012566,0.001221,0.022736
0.000850,0.010907,-0.006714,0.037842
0.000900,0.000896,0.004272,0.023956
0.000950,-0.010123,0.004883,-0.033112
0.001000,-0.013725,0.000610,-0.060730
0.001050,-0.006948,-0.003662,-0.056305
0.001100,0.005760,0.004272,-0.021820
0.001150,0.013634,-0.010376,0.034027
0.001200,0.007134,-0.010376,0.047760
0.001250,-0.009314,-0.009155,0.030670
0.001300,-0.017055,0.014038,-0.047150
0.001350,-0.005038,0.006714,-0.053711
0.001400,0.012270,0.015259,-0.044250
0.001450,0.011550,-0.005493,0.040131
0.001500,-0.006421,0.010376,0.073700
0.001550,-0.016265,0.000000,-0.004425
0.001600,-0.003826,0.022583,-0.079956
0.001650,0.013609,0.004272,-0.069427
0.001700,0.012096,0.009155,0.047455
0.001750,-0.006657,-0.002441,0.093384
0.001800,-0.020517,-0.012817,-0.033569
0.001850,-0.016894,0.001221,-0.094910
0.001900,-0.004165,0.009155,-0.052795
0.001950,0.004021,-0.014648,0.006256
0.002000,0.003956,-0.000610,0.070190
0.002050,0.000399,-0.012817,0.049744
0.002100,-0.001317,0.007324,-0.003357
0.002150,0.001362,-0.006104,-0.006714
0.002200,0.007682,0.007935,-0.018768
0.002250,0.013517,-0.001221,0.011444
0.002300,0.014240,0.001831,0.011292
0.002350,0.009435,-0.011597,0.008087
0.002400,0.003498,0.008545,-0.023651
0.002450,0.000604,0.028076,-0.041809
0.002500,-0.000100,0.006104,-0.056305
0.002550,-0.003135,0.006104,-0.030518
0.002600,-0.010326,0.010986,-0.011902
0.002650,-0.016934,0.020752,-0.028076
0.002700,-0.015790,-0.001221,0.002594
0.002750,-0.005331,0.004272,-0.037842
0.002800,0.007851,-0.016479,0.027313
0.002850,0.014376,-0.005493,0.028992
0.002900,0.009199,-0.010376,0.049896
0.002950,-0.004303,0.004272,0.016174
0.003000,-0.014734,-0.003052,-0.058136
0.003050,-0.010920,0.004272,-0.077820
0.003100,0.004543,0.009766,-0.049438
0.003150,0.013824,0.007324,0.011444
0.003200,0.004767,-0.005493,0.044708
0.003250,-0.010164,-0.006714,0.035706
0.003300,-0.008802,0.003662,-0.064545
0.003350,0.007966,0.000000,-0.075836
0.003400,0.015482,0.005493,-0.016937
0.003450,0.001525,-0.003052,0.051270
0.003500,-0.015384,0.006104,0.015106
0.003550,-0.014220,-0.004883,-0.057831
0.003600,-0.001074,0.004883,-0.095215
0.003650,0.004700,0.005493,-0.015259
0.003700,0.000399,0.000610,0.046539
0.003750,-0.002473,0.002441,0.031281
0.003800,-0.001400,0.006714,-0.024109
0.003850,-0.003490,-0.003662,-0.011749
0.003900,-0.007322,0.003052,-0.025024
0.003950,-0.004027,0.008545,-0.004425
0.004000,0.003696,-0.003052,-0.015869
0.004050,0.002260,0.000610,0.022888
0.004100,-0.009487,-0.000610,0.023804
0.004150,-0.014097,-0.010376,-0.018463
0.004200,-0.000205,0.007935,-0.043640
0.004250,0.018897,0.002441,-0.014801
0.004300,0.021273,0.001831,0.053253
0.004350,0.004344,0.003052,0.074463
0.004400,-0.012697,-0.003052,-0.026855
0.004450,-0.013098,0.012207,-0.088196
0.004500,-0.001756,0.023804,-0.120087
0.004550,0.003371,0.001221,-0.025787
0.004600,-0.004137,0.004883,0.045624
