t [s],u [deg],y [deg],i [A],Finished_late
0.000000,0.000000,0.010376,-0.015564,0.000000
0.000050,0.000000,0.004272,-0.017242,1.000000
0.000100,0.000000,0.005493,-0.017548,0.000000
0.000150,0.000000,-0.006104,0.006409,0.000000
0.000200,0.000000,-0.007935,-0.003967,0.000000
0.000250,0.000001,-0.000610,-0.024109,0.000000
0.000300,0.000001,0.007935,-0.018311,0.000000
0.000350,-0.000001,-0.012817,0.000000,0.000000
0.000400,-0.000005,0.001831,-0.012054,0.000000
0.000450,-0.000010,0.001831,-0.005035,0.000000
0.000500,-0.000011,0.010376,-0.022583,0.000000
0.000550,-0.000005,0.013428,0.001068,0.000000
0.000600,0.000003,-0.000610,-0.014038,0.000000
0.000650,0.000012,0.000610,-0.010223,0.000000
0.000700,0.000015,-0.002441,-0.023651,0.000000
0.000750,0.000012,0.006714,-0.002899,0.000000
0.000800,0.000007,-0.012817,-0.011139,0.000000
0.000850,0.000002,-0.000610,-0.019073,0.000000
0.000900,-0.000005,-0.001831,-0.012512,0.000000
0.000950,-0.000012,0.007324,0.007172,0.000000
0.001000,-0.000019,-0.008545,0.004120,0.000000
0.001050,-0.000018,0.007935,-0.011444,0.000000
0.001100,-0.000007,0.022583,0.013428,0.000000
0.001150,0.000007,-0.001831,-0.020142,0.000000
0.001200,0.000015,-0.001221,-0.001831,0.000000
0.001250,0.000016,-0.013428,-0.015717,0.000000
0.001300,0.000016,0.006104,-0.028992,0.000000
0.001350,0.000014,0.005493,-0.026855,0.000000
0.001400,0.000007,0.003052,0.003510,0.000000
0.001450,-0.000009,0.012817,-0.011292,0.000000
0.001500,-0.000028,0.001831,-0.013275,0.000000
0.001550,-0.000037,0.003052,0.007782,0.000000
0.001600,-0.000035,0.006104,-0.009766,0.000000
0.001650,-0.000024,0.004272,-0.027008,0.000000
0.001700,-0.000008,-0.001221,-0.003510,0.000000
0.001750,0.000012,-0.005493,-0.016479,0.000000
0.001800,0.000029,0.007324,-0.007019,0.000000
0.001850,0.000042,0.001831,0.028839,0.000000
0.001900,0.000052,0.008545,-0.033417,0.000000
0.001950,0.000051,0.001221,-0.019226,0.000000
0.002000,0.000005,0.012817,-0.001984,0.000000
0.002050,-0.000138,-0.003662,-0.020294,0.000000
0.002100,-0.000411,0.000000,0.005646,0.000000
0.002150,-0.000810,-0.005493,-0.015869,0.000000
0.002200,-0.001306,0.014038,-0.012360,0.000000
0.002250,-0.001817,0.008545,0.017242,0.000000
0.002300,-0.002184,-0.001831,-0.000153,0.000000
0.002350,-0.002178,-0.004883,-0.005035,0.000000
0.002400,-0.001640,-0.009155,-0.009460,0.000000
0.002450,-0.000661,-0.002441,0.000610,0.000000
0.002500,0.000369,-0.005493,-0.029297,0.000000
0.002550,0.001003,0.006104,-0.017395,0.000000
0.002600,0.001013,-0.003052,-0.000916,0.000000
0.002650,0.000428,0.003052,-0.025024,0.000000
0.002700,-0.000587,0.007935,0.003052,0.000000
0.002750,-0.001812,0.003052,-0.015717,0.000000
0.002800,-0.002950,-0.009766,-0.020294,0.000000
0.002850,-0.003632,-0.004272,-0.025940,0.000000
0.002900,-0.003569,0.003052,-0.021210,0.000000
0.002950,-0.002747,0.001831,0.001526,0.000000
0.003000,-0.001469,-0.002441,-0.010071,0.000000
0.003050,-0.000208,0.009766,-0.027313,0.000000
0.003100,0.000624,-0.007324,-0.007019,0.000000
0.003150,0.000831,0.003052,0.005646,0.000000
0.003200,0.000428,-0.007935,-0.028839,0.000000
0.003250,-0.000460,0.010986,-0.024261,0.000000
0.003300,-0.001612,0.006714,-0.030060,0.000000
0.003350,-0.002693,0.000000,-0.018463,0.000000
0.003400,-0.003328,-0.003662,-0.012817,0.000000
0.003450,-0.003308,-0.003662,-0.018005,0.000000
0.003500,-0.002745,0.007935,0.008698,0.000000
0.003550,-0.002065,0.001831,0.005646,0.000000
