t [s],u [deg],y [deg],i [A],Finished_late
0.000000,0.000000,0.015259,-0.013123,0.000000
0.000050,0.000000,-0.010376,0.037079,1.000000
0.000100,0.000000,0.012207,-0.006866,0.000000
0.000150,0.000000,0.003052,-0.017090,0.000000
0.000200,0.000000,0.002441,0.021362,0.000000
0.000250,0.000000,-0.003052,0.006866,0.000000
0.000300,-0.000000,-0.010376,0.006866,0.000000
0.000350,-0.000000,-0.007324,-0.004272,0.000000
0.000400,-0.000000,0.006714,-0.009308,0.000000
0.000450,0.000000,0.004883,0.013428,0.000000
0.000500,0.000000,0.017090,-0.003357,0.000000
0.000550,-0.000000,-0.003052,0.010986,0.000000
0.000600,-0.000000,-0.009766,0.006561,0.000000
0.000650,0.000001,-0.007324,-0.004578,0.000000
0.000700,0.000001,0.009766,-0.048218,0.000000
0.000750,-0.000002,0.018921,-0.042267,0.000000
0.000800,-0.000003,-0.006104,0.003967,0.000000
0.000850,0.000002,0.015259,0.003357,0.000000
0.000900,0.000006,0.007935,-0.008240,0.000000
0.000950,-0.000003,0.006714,-0.011444,0.000000
0.001000,-0.000011,-0.020142,0.001678,0.000000
0.001050,0.000003,0.009766,-0.014648,0.000000
0.001100,0.000022,0.008545,0.001221,0.000000
0.001150,0.000001,0.000000,0.009918,0.000000
0.001200,-0.000041,-0.002441,-0.023193,0.000000
0.001250,-0.000020,0.000610,0.019379,0.000000
0.001300,0.000055,-0.003662,-0.011292,0.000000
0.001350,0.000044,-0.004272,-0.014954,0.000000
0.001400,-0.000082,0.012207,-0.009308,0.000000
0.001450,-0.000100,-0.000610,-0.008392,0.000000
0.001500,0.000098,-0.005493,0.018921,0.000000
0.001550,0.000196,0.004272,0.000610,0.000000
0.001600,-0.000070,-0.004883,-0.016327,0.000000
0.001650,-0.000315,0.003052,-0.023041,0.000000
0.001700,-0.000018,-0.004272,0.011597,0.000000
0.001750,0.000434,-0.002441,-0.008698,0.000000
0.001800,0.000167,-0.008545,0.022430,0.000000
